Month;PV;Wind
Jan;5291;9120
Feb;5329;9174
Mar;5439;9328
Apr;5463;9418
May;5588;9544
Jun;5648;9598
Jul;5764;9735
Aug;5902;9873
Sep;6041;9923
Oct;6098;10037
Nov;6121;10069
Dec;6191;10312
# Capacity installed in France in 2015 as of end of month;;
# Unit: MW;;
# Source: RTE, aperçus mensuels;;
# Link: http://www.rte-france.com/fr/article/apercus-electriques-mensuels;;
